"科目ID","科目","科目よみ","補助科目あり","大区分ID","整理番号","前期繰越","前々期繰越","貸借区分","使用区分","振替対象","予算","整列順","科目コード","大区分コード","整列コード","前年度予算","補正予算","仕訳伝票印刷対象","印刷","test","代替科目コード","代替科目番号"
203,"ソフトウェア","そふとうぇあ",0,53,17,\0,\0,"借+",1,,\0,63,"10309","103","09",\0,\0,0,0,,,
204,"構築物取得支出","こうちくぶつしゅとくししゅつ",0,26,5,\0,\0,"借+",1,,\0,146,"14103","141","03",\0,\0,0,0,,,
205,"土地取得支出","とちしゅとくししゅつ",0,26,6,\0,\0,"借+",1,,\0,148,"14105","141","05",\0,\0,0,0,,,
206,"ソフトウェア取得支出","そふとうぇあしゅとくししゅつ",0,26,7,\0,\0,"借+",1,,\0,149,"14107","141","07",\0,\0,0,0,,,
207,"人件費積立金取崩額","じんけんひつみたてきんとりくずしがく",0,49,2,\0,\0,"借+",0,,\0,193,"27301","273","01",\0,\0,0,0,,,
208,"修繕積立金取崩額","しゅうぜんつみたてきんとりくずしがく",0,49,3,\0,\0,"借+",0,,\0,194,"27302","273","02",\0,\0,0,0,,,
209,"備品等購入積立金取崩額","びひんとうこうにゅうつみたてきんとりくずしがく",0,49,4,\0,\0,"借+",1,,\0,195,"27303","273","03",\0,\0,0,0,,,
210,"保育所・設備整備積立金取崩額","ほいくしょ・せつびせいびつみたてきんとりくずしがく",0,49,5,\0,\0,"借+",0,,\0,196,"27304","273","04",\0,\0,0,0,,,
211,"保育所繰越積立預金取崩収入","ほいくしょくりこしつみたてよきんとりくずししゅうにゅう",0,19,7,\0,\0,"借+",0,,\0,34,"04405","044","05",\0,\0,0,0,,,
212,"退職共済預け金","たいしょくきょうさいあずけきん",0,53,18,\0,\0,"借+",0,,\0,75,"10321","103","21",\0,\0,0,0,,,
213,"退職共済預け金支出","たいしょくきょうさいあずけきんししゅつ",0,31,3,\0,\0,"借+",0,,\0,162,"15403","154","03",\0,\0,0,0,,,
214,"退職共済給付金収入","たいしょくきょうさいきゅうふきんしゅうにゅう",0,20,3,\0,\0,"借+",0,,\0,38,"04503","045","03",\0,\0,0,0,,,
215,"雑損失","ざつそんしつ",0,61,1,\0,\0,"借+",0,,\0,183,"25401","254","01",\0,\0,0,0,,,
